product_id,product_name,composition,color,size,fit,additional material information,messages.waistrise,messages.clothingstyle,care instructions,material,description,imported,collection,price,messages.garmentlength,concept,style_id,color_id,scrapy_datetime
0690449001,Skinny Jeans,"Cotton 99%, Spandex 1%",Light denim blue/trashed,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Light denim blue,Yes,,"
                $13.99",Long,DENIM,0690449,001,2022-12-05 14:34:37.521016
0690449002,Skinny Jeans,"Cotton 98%, Spandex 2%",Denim blue,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Denim blue,Yes,,"
                $14.99",Long,DENIM,0690449,002,2022-12-05 14:34:37.521016
0690449006,Skinny Jeans,"Cotton 98%, Spandex 2%",Black/washed,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Black,Yes,,"
                $7.99",Long,DENIM,0690449,006,2022-12-05 14:34:37.521016
0690449007,Skinny Jeans,"Cotton 98%, Spandex 2%",Light denim blue,,Skinny fit,,Regular waist,Trashed,Tumble dry medium,keyFibreType,Light blue,Yes,,"
                $14.99",Long,DENIM,0690449,007,2022-12-05 14:34:37.521016
0690449009,Skinny Jeans,"Cotton 99%, Spandex 1%",Black washed out,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Black,Yes,,"
                $17.99",Long,DENIM,0690449,009,2022-12-05 14:34:37.521016
0690449011,Skinny Jeans,"Cotton 99%, Spandex 1%",White,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,White,Yes,,"
                $17.99",Long,DENIM,0690449,011,2022-12-05 14:34:37.521016
0690449013,Skinny Jeans,"Cotton 98%, Spandex 2%",Black/washed,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Black,Yes,,"
                $27.99",Long,DENIM,0690449,013,2022-12-05 14:34:37.521016
0690449021,Skinny Jeans,"Cotton 98%, Spandex 2%",Dark denim blue/trashed,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Dark denim blue,Yes,,"
                $25.99",Long,DENIM,0690449,021,2022-12-05 14:34:37.521016
0690449022,Skinny Jeans,"Cotton 98%, Spandex 2%",Black/trashed,,Skinny fit,,Regular waist,Trashed,Only non-chlorine bleach when needed,keyFibreType,Black,Yes,,"
                $39.99",Long,DENIM,0690449,022,2022-12-05 14:34:37.521016
0690449024,Skinny Jeans,"Cotton 98%, Spandex 2%",Dark blue/Trashed,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Dark blue,Yes,,"
                $20.99",Long,DENIM,0690449,024,2022-12-05 14:34:37.521016
0690449028,Skinny Jeans,"Cotton 98%, Spandex 2%",Dark blue/washed out,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Dark blue,Yes,,"
                $19.99",Long,DENIM,0690449,028,2022-12-05 14:34:37.521016
0690449035,Skinny Jeans,"Cotton 98%, Spandex 2%",Denim blue/trashed,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Denim blue,Yes,,"
                $21.99",Long,DENIM,0690449,035,2022-12-05 14:34:37.521016
0690449036,Skinny Jeans,"Cotton 98%, Spandex 2%",Black,,Skinny fit,,Regular waist,Trashed,Only non-chlorine bleach when needed,keyFibreType,Black,Yes,,"
                $39.99",Long,DENIM,0690449,036,2022-12-05 14:34:37.521016
0690449040,Skinny Jeans,"Cotton 98%, Spandex 2%",Denim gray,,Skinny fit,,Regular waist,Trashed,Machine wash cool,keyFibreType,Denim gray,Yes,,"
                $29.99",Long,DENIM,0690449,040,2022-12-05 14:34:37.521016
0690449043,Skinny Jeans,"Cotton 98%, Spandex 2%",Light denim blue/trashed,,Skinny fit,,Regular waist,Trashed,Only non-chlorine bleach when needed,keyFibreType,Light denim blue,Yes,,"
                $39.99",Long,DENIM,0690449,043,2022-12-05 14:34:37.521016
